product_id,product_name,category,unit_cost,unit_price
2001,Product_2001,Fashion,130.2,189.6
2002,Product_2002,Electronics,112.33,204.34
2003,Product_2003,Home,131.48,206.43
2004,Product_2004,Fashion,224.42,365.41
2005,Product_2005,Beauty,133.32,170.59
2006,Product_2006,Sports,116.34,212.06
2007,Product_2007,Fashion,190.07,241.14
2008,Product_2008,Beauty,180.51,362.16
2009,Product_2009,Electronics,220.28,291.4
2010,Product_2010,Home,39.79,53.34
2011,Product_2011,Beauty,96.09,134.0
2012,Product_2012,Electronics,204.72,408.15
2013,Product_2013,Fashion,224.97,426.31
2014,Product_2014,Fashion,74.65,162.52
2015,Product_2015,Electronics,122.42,229.89
2016,Product_2016,Sports,79.88,173.71
2017,Product_2017,Sports,256.71,378.92
2018,Product_2018,Beauty,37.88,68.82
2019,Product_2019,Beauty,157.38,315.66
2020,Product_2020,Home,93.21,206.28
2021,Product_2021,Electronics,89.9,121.12
2022,Product_2022,Fashion,209.1,329.44
2023,Product_2023,Electronics,75.17,135.34
2024,Product_2024,Electronics,140.89,193.56
2025,Product_2025,Fashion,43.71,57.0
2026,Product_2026,Home,9.62,15.26
2027,Product_2027,Electronics,42.89,71.46
2028,Product_2028,Home,68.12,114.33
2029,Product_2029,Home,36.27,45.84
2030,Product_2030,Electronics,150.94,240.52
2031,Product_2031,Sports,148.39,252.94
2032,Product_2032,Fashion,229.26,288.97
2033,Product_2033,Electronics,11.02,15.18
2034,Product_2034,Fashion,222.38,331.96
2035,Product_2035,Beauty,188.58,332.95
2036,Product_2036,Electronics,183.2,249.34
2037,Product_2037,Electronics,215.87,352.38
2038,Product_2038,Home,210.83,287.23
2039,Product_2039,Electronics,214.22,351.08
2040,Product_2040,Electronics,14.22,27.36
2041,Product_2041,Electronics,265.11,420.55
2042,Product_2042,Sports,133.6,248.02
2043,Product_2043,Beauty,53.16,92.47
2044,Product_2044,Beauty,221.19,390.68
2045,Product_2045,Electronics,129.93,170.66
2046,Product_2046,Home,236.14,403.43
2047,Product_2047,Sports,141.88,227.32
2048,Product_2048,Sports,173.49,237.52
2049,Product_2049,Home,28.34,42.89
2050,Product_2050,Beauty,140.1,249.1
2051,Product_2051,Electronics,167.25,300.13
2052,Product_2052,Home,135.75,196.34
2053,Product_2053,Fashion,20.16,26.72
2054,Product_2054,Fashion,245.29,449.18
2055,Product_2055,Sports,203.35,426.97
2056,Product_2056,Home,123.13,168.58
2057,Product_2057,Home,214.55,429.13
2058,Product_2058,Home,163.31,353.34
2059,Product_2059,Electronics,203.59,352.1
2060,Product_2060,Fashion,171.22,258.72
